"","filename","X1","species","cc","cn","gf","he","mp","X8"
"1","Aulax pallasia_tran_curr_2010.csv",1,"Aulax pallasia",29.7162698412698,29.7162698412698,29.7162698412698,29.7162698412698,29.7162698412698,NA
"2","Aulax pallasia_tran_curr_2010.csv",2,"Aulax pallasia",0.770238095238095,0.811111111111111,0.977380952380952,0.891269841269841,0.908730158730159,NA
"3","Aulax pallasia_tran_curr_2010.csv",3,"Aulax pallasia",5.8968253968254,5.85595238095238,5.68968253968254,5.77579365079365,5.75833333333333,NA
"4","Aulax pallasia_tran_curr_2010.csv",4,"Aulax pallasia",0,0,0,0,0,NA
"5","Aulax pallasia_tran_curr_2040.csv",1,"Aulax pallasia",29.7162698412698,29.7162698412698,29.7162698412698,29.7162698412698,29.7162698412698,NA
"6","Aulax pallasia_tran_curr_2040.csv",2,"Aulax pallasia",2.69126984126984,2.91349206349206,3.59920634920635,3.30992063492064,3.34365079365079,NA
"7","Aulax pallasia_tran_curr_2040.csv",3,"Aulax pallasia",3.97579365079365,3.75357142857143,3.06785714285714,3.35714285714286,3.3234126984127,NA
"8","Aulax pallasia_tran_curr_2040.csv",4,"Aulax pallasia",0,0,0,0,0,NA
"9","Aulax pallasia_tran_curr_2070.csv",1,"Aulax pallasia",29.7162698412698,29.7162698412698,29.7162698412698,29.7162698412698,29.7162698412698,NA
"10","Aulax pallasia_tran_curr_2070.csv",2,"Aulax pallasia",4.57460317460317,4.90277777777778,5.50952380952381,5.30238095238095,5.28928571428571,NA
"11","Aulax pallasia_tran_curr_2070.csv",3,"Aulax pallasia",2.09246031746032,1.76428571428571,1.15753968253968,1.36468253968254,1.37777777777778,NA
"12","Aulax pallasia_tran_curr_2070.csv",4,"Aulax pallasia",0,0,0,0,0,NA
"13","Aulax umbellata_tran_curr_2010.csv",1,"Aulax umbellata",32.968253968254,33.0206349206349,33.034126984127,33.0210317460317,32.9615079365079,NA
"14","Aulax umbellata_tran_curr_2010.csv",2,"Aulax umbellata",0.236904761904762,0.311507936507937,0.415873015873016,0.397619047619048,0.425396825396825,NA
"15","Aulax umbellata_tran_curr_2010.csv",3,"Aulax umbellata",3.09484126984127,3.0202380952381,2.91587301587302,2.93412698412698,2.90634920634921,NA
"16","Aulax umbellata_tran_curr_2010.csv",4,"Aulax umbellata",0.0833333333333333,0.0309523809523809,0.0174603174603175,0.0305555555555556,0.0900793650793651,NA
"17","Aulax umbellata_tran_curr_2040.csv",1,"Aulax umbellata",32.8515873015873,32.9388888888889,33.0210317460317,32.8547619047619,32.8753968253968,NA
"18","Aulax umbellata_tran_curr_2040.csv",2,"Aulax umbellata",1.25277777777778,1.5781746031746,1.93373015873016,1.81984126984127,1.73571428571429,NA
"19","Aulax umbellata_tran_curr_2040.csv",3,"Aulax umbellata",2.07896825396825,1.75357142857143,1.39801587301587,1.51190476190476,1.59603174603175,NA
